Time,T1,T2,U1,U2,SP1,SP2
885.04,73.4844,73.4844,91.38089886314043,91.28367412709211,73.19,73.19
890.04,74.12899999999999,74.12899999999999,100,100,75.69,75.69
895.01,74.77359999999999,74.77359999999999,100,100,78.17500000000001,78.17500000000001
900.02,75.4182,75.4182,100,100,80.68,80.68
910.01,77.02969999999999,77.35199999999999,100,100,85.67500000000001,85.67500000000001
915.04,77.9966,78.3189,100,100,88.19,88.19
920.02,78.9635,79.2858,100,100,90.68,90.68
930.04,80.89729999999999,80.89729999999999,100,100,94.0,94.0
935.02,81.8642,81.8642,100,100,94.0,94.0
940.05,82.83109999999999,82.83109999999999,100,100,94.0,94.0
945.02,83.79799999999999,83.79799999999999,100,100,94.0,94.0
950.04,84.4426,84.7649,100,100,94.0,94.0
960.0,86.37639999999999,86.37639999999999,100,100,94.0,94.0
965.02,87.02099999999999,87.02099999999999,100,100,94.0,94.0
970.05,87.9879,87.9879,100,100,94.0,94.0
980.02,89.27709999999999,89.59939999999999,100,100,94.0,94.0
985.04,90.244,90.244,100,100,94.0,94.0
990.03,90.8886,90.8886,42.32591013477931,42.32591013477915,92.315,92.315
995.02,91.2109,91.2109,0,0,89.82,89.82
1000.02,91.2109,91.2109,0,0,87.32000000000001,87.32000000000001
1010.0,89.59939999999999,89.59939999999999,0,0,82.33,82.33
1015.03,88.3102,88.3102,0,0,79.81500000000003,79.81500000000003
1020.04,86.69869999999999,87.02099999999999,0,0,77.31000000000003,77.31000000000003
1030.02,83.47569999999999,83.47569999999999,0,0,72.32000000000002,72.32000000000002
1035.04,81.8642,81.5419,0,0,69.81000000000004,69.81000000000004
1040.0,79.93039999999999,79.93039999999999,0,0,67.33000000000003,67.33000000000003
1045.03,77.9966,77.9966,0,0,64.81500000000005,64.81500000000005
1050.06,76.0628,76.0628,0,0,62.30000000000007,62.30000000000007
1060.04,72.8398,72.8398,0,0,60.0,60.0
1065.03,70.90599999999999,70.90599999999999,0,0,60.0,60.0
1070.05,69.2945,69.2945,0,0,60.0,60.0
1080.02,66.0715,66.0715,0,0,60.0,60.0
1085.03,64.46,64.46,0,0,60.0,60.0
1090.02,62.848499999999994,63.17079999999999,0,0,60.0,60.0
1095.02,61.55929999999999,61.55929999999999,0,0,60.0,60.0
1100.04,60.27009999999999,60.27009999999999,100,92.24059635846618,60.0,60.0
1110.02,58.9809,58.65859999999999,100,100,60.0,60.0
1115.03,58.65859999999999,58.65859999999999,100,100,60.184999999999945,60.184999999999945
1120.03,59.3032,58.9809,100,100,62.684999999999945,62.684999999999945
1125.05,59.947799999999994,59.947799999999994,100,100,65.19499999999994,65.19499999999994
1130.05,61.236999999999995,60.914699999999996,100,100,67.69499999999994,67.69499999999994
1140.04,63.4931,63.17079999999999,100,100,72.0,72.0
1145.03,64.78229999999999,64.46,100,100,72.0,72.0
1150.05,66.0715,65.7492,100,100,72.0,72.0
1160.03,68.64989999999999,68.32759999999999,100,100,72.0,72.0
1165.01,69.9391,69.6168,100,100,72.0,72.0
1170.01,71.22829999999999,70.90599999999999,40.80187985558929,50.52435359969862,72.0,72.0
1175.02,72.1952,71.8729,0,0,72.0,72.0
1180.04,72.8398,72.5175,0,0,72.0,72.0
1190.03,72.5175,72.5175,0,0,72.0,72.0
1195.03,71.8729,71.55059999999999,13.848250351645778,3.93132727472221,72.0,72.0
1200.04,70.90599999999999,70.90599999999999,33.19596612347573,43.11288920039867,72.0,72.0
1205.02,69.9391,69.9391,62.46060777137541,62.36338303532705,72.0,72.0
1210.05,69.2945,68.9722,81.80832778962055,81.80832778962048,72.0,72.0
1220.03,68.64989999999999,68.64989999999999,100,100,72.0,72.0
1225.02,68.9722,68.9722,91.23912357629206,91.239123576292,72.0,72.0
1230.02,69.2945,69.2945,81.51664935301588,81.51664935301584,72.0,72.0
1240.05,70.2614,70.5837,52.15477822297362,42.33507988209882,72.0,72.0
1245.04,70.90599999999999,70.90599999999999,32.80705545476098,32.904280190809196,72.0,72.0
1250.02,71.22829999999999,71.22829999999999,23.181806347773872,23.18180634777383,72.0,72.0
1260.03,70.90599999999999,70.90599999999999,23.279030726662477,33.09872906753719,72.0,72.0
1265.01,70.5837,70.5837,42.918427272710396,42.82120253666208,72.0,72.0
1270.01,70.2614,70.2614,52.543676026717336,52.543676026717264,72.0,72.0
1275.03,69.9391,69.9391,62.26614953369395,72.08584787456866,72.0,72.0
1280.04,69.6168,69.6168,71.98862305451772,71.89139831846938,72.0,72.0
1290.02,69.6168,69.6168,71.8913981830141,71.89139818301403,72.0,72.0
1295.03,69.6168,69.6168,71.8913981282705,71.8913981282704,72.0,72.0
1300.02,69.9391,69.9391,62.07169973972641,62.071699739726306,72.0,72.0
1310.03,70.2614,70.5837,52.34922605781639,42.52952771694148,72.0,72.0
1315.0,70.5837,70.5837,42.626752422806824,32.904278817980156,72.0,72.0
1320.0,70.5837,70.5837,22.310704132329846,22.407928868377926,71.33000000000004,71.33000000000004
1325.02,70.5837,70.5837,0,0,68.82000000000005,68.82000000000005
1330.02,70.2614,69.9391,0,0,66.32000000000004,66.32000000000004
1340.03,68.64989999999999,68.32759999999999,0,0,61.31500000000004,61.31500000000004
1345.03,67.3607,67.3607,0,0,58.81500000000004,58.81500000000004
1350.04,66.3938,66.3938,0,0,56.31000000000004,56.31000000000004
1360.04,63.8154,63.4931,0,0,51.31000000000003,51.31000000000003
1365.02,62.526199999999996,62.526199999999996,0,0,48.82000000000002,48.82000000000002
1370.03,61.236999999999995,61.236999999999995,0,0,46.31500000000002,46.31500000000002
1380.02,58.65859999999999,58.65859999999999,0,0,41.32000000000001,41.32000000000001
1385.02,57.3694,57.3694,0,0,38.82000000000001,38.82000000000001
1390.02,56.402499999999996,56.0802,0,0,36.32,36.32
1395.0,55.113299999999995,55.113299999999995,0,0,33.82999999999999,33.82999999999999
1400.0,54.14639999999999,53.824099999999994,0,0,31.329999999999984,31.329999999999984
1410.03,51.568,51.568,0,0,26.31499999999999,26.31499999999999
1415.04,50.601099999999995,50.601099999999995,0,0,23.809999999999995,23.809999999999995
1420.02,49.63419999999999,49.311899999999994,0,0,21.67,21.67
1425.0,48.6673,48.6673,0,0,21.67,21.67
1430.07,47.700399999999995,47.700399999999995,0,0,21.67,21.67
1440.03,45.7666,45.7666,0,0,21.67,21.67
1445.02,45.122,44.799699999999994,0,0,21.67,21.67
1450.0,44.1551,43.8328,0,0,21.67,21.67
1460.04,42.5436,42.5436,0,0,21.67,21.67
1465.01,41.576699999999995,41.576699999999995,0,0,21.67,21.67
1470.04,40.9321,40.9321,0,0,21.67,21.67
1475.05,40.287499999999994,40.287499999999994,0,0,21.67,21.67
1480.06,39.6429,39.6429,0,0,21.67,21.67
1490.04,38.353699999999996,38.353699999999996,0,0,21.67,21.67
1495.03,37.7091,37.7091,0,0,21.67,21.67
